Município1,Código Município IBGE,População estimada (2020),UF1,05/03/20,06/03/20,12/03/20,13/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20,16/07/20,17/07/20,18/07/20,19/07/20,20/07/20,21/07/20,22/07/20,23/07/20,24/07/20,25/07/20,26/07/20,27/07/20,28/07/20,29/07/20,30/07/20,31/07/20,01/08/20,02/08/20,03/08/20,04/08/20,05/08/20,06/08/20,07/08/20,08/08/20,09/08/20,10/08/20,11/08/20,12/08/20,13/08/20,14/08/20,15/08/20,16/08/20,17/08/20,18/08/20,19/08/20,20/08/20,21/08/20,22/08/20,23/08/20,24/08/20,25/08/20,26/08/20,27/08/20,28/08/20,29/08/20,30/08/20,31/08/20,01/09/20,02/09/20,03/09/20,04/09/20,05/09/20,06/09/20,07/09/20,08/09/20,09/09/20,10/09/20,11/09/20,12/09/20,13/09/20,14/09/20,15/09/20,16/09/20,17/09/20,18/09/20,19/09/20,20/09/20,21/09/20,22/09/20,23/09/20,24/09/20,25/09/20,26/09/20,27/09/20,28/09/20,29/09/20,30/09/20,01/10/20,02/10/20,03/10/20,04/10/20,05/10/20,06/10/20,07/10/20,08/10/20,09/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,01/11/20,02/11/20,03/11/20,04/11/20,05/11/20,06/11/20,07/11/20,08/11/20,09/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,01/12/20,02/12/20,03/12/20
LIMEIRA,3526902,308482,SP,31%,30%,27%,31%,35%,36%,37%,38%,51%,50%,45%,46%,48%,47%,46%,50%,53%,48%,48%,48%,48%,47%,52%,53%,43%,43%,43%,39%,52%,47%,51%,42%,42%,42%,41%,39%,47%,53%,43%,50%,38%,39%,39%,45%,52%,39%,39%,39%,38%,50%,45%,51%,38%,38%,37%,38%,36%,42%,46%,39%,38%,38%,38%,36%,44%,48%,42%,42%,41%,42%,40%,44%,49%,45%,41%,42%,42%,41%,45%,47%,41%,42%,41%,41%,41%,44%,46%,40%,40%,40%,43%,40%,42%,46%,40%,40%,40%,39%,40%,42%,46%,40%,41%,41%,41%,41%,43%,47%,40%,41%,40%,39%,39%,42%,46%,40%,40%,40%,41%,39%,43%,46%,40%,41%,39%,40%,39%,42%,46%,38%,39%,38%,37%,37%,44%,48%,39%,39%,39%,38%,38%,45%,50%,38%,38%,38%,38%,37%,40%,44%,38%,39%,38%,34%,35%,36%,40%,36%,34%,35%,34%,34%,37%,41%,35%,36%,33%,33%,34%,34%,39%,33%,35%,35%,34%,34%,34%,39%,42%,34%,35%,33%,33%,34%,40%,35%,37%,34%,34%,34%,34%,40%,34%,34%,35%,35%,33%,35%,39%,34%,35%,32%,33%,33%,35%,40%,34%,33%,33%,34%,34%,33%,38%,38%,33%,31%,32%,34%,35%,38%,33%,34%,35%,33%,35%,34%,38%,35%,32%,33%,34%,33%,42%,40%,40%,32%,34%,32%,33%,36%,42%,33%,34%,34%,34%,33%,37%,38%,34%,34%,33%,33%,35%,37%,40%,33%,33%,33%,33%,34%,36%,38%,33%,32%,32%,34%
LINS,3527108,78503,SP,37%,31%,33%,36%,40%,41%,43%,44%,53%,52%,50%,48%,51%,50%,50%,52%,55%,53%,53%,52%,52%,51%,55%,55%,49%,47%,47%,45%,58%,52%,58%,49%,51%,48%,46%,46%,52%,54%,47%,57%,47%,47%,46%,51%,59%,47%,47%,47%,46%,55%,52%,58%,46%,45%,45%,45%,43%,47%,52%,46%,46%,46%,47%,45%,46%,46%,46%,44%,42%,40%,43%,46%,49%,47%,39%,43%,42%,41%,45%,45%,42%,41%,41%,43%,40%,42%,50%,42%,41%,41%,43%,41%,43%,48%,40%,38%,42%,41%,40%,40%,48%,41%,40%,41%,42%,42%,46%,49%,44%,44%,42%,44%,41%,42%,47%,41%,43%,42%,40%,40%,43%,45%,43%,40%,41%,41%,40%,43%,47%,41%,38%,42%,37%,37%,41%,47%,42%,41%,39%,41%,42%,41%,47%,40%,41%,40%,39%,36%,40%,42%,40%,39%,39%,40%,40%,43%,47%,39%,43%,42%,42%,40%,45%,47%,41%,42%,40%,42%,39%,40%,46%,39%,39%,41%,38%,39%,39%,43%,46%,41%,39%,39%,41%,41%,46%,37%,42%,39%,39%,39%,39%,45%,41%,38%,39%,40%,41%,42%,45%,39%,38%,40%,41%,39%,39%,43%,37%,39%,38%,41%,40%,41%,44%,43%,37%,38%,38%,38%,41%,42%,38%,40%,40%,40%,41%,42%,46%,37%,39%,38%,38%,39%,40%,46%,44%,38%,38%,39%,39%,41%,45%,41%,40%,39%,38%,39%,39%,41%,40%,37%,38%,39%,39%,37%,41%,39%,39%,39%,39%,40%,38%,43%,38%,39%,41%,37%
LORENA,3527207,89125,SP,49%,48%,46%,49%,53%,55%,56%,57%,67%,65%,63%,64%,64%,63%,63%,64%,66%,66%,66%,65%,65%,64%,68%,67%,63%,61%,61%,60%,71%,66%,69%,62%,62%,61%,61%,61%,65%,70%,63%,67%,60%,61%,60%,64%,69%,60%,61%,60%,59%,66%,64%,69%,60%,60%,59%,59%,58%,62%,64%,59%,58%,59%,59%,59%,49%,50%,49%,48%,47%,49%,49%,50%,51%,47%,45%,48%,48%,48%,55%,51%,47%,47%,47%,47%,48%,46%,48%,47%,47%,47%,48%,48%,49%,49%,47%,47%,46%,46%,47%,48%,50%,48%,48%,47%,47%,45%,46%,50%,48%,46%,46%,47%,47%,47%,49%,46%,47%,46%,45%,44%,46%,47%,46%,45%,46%,46%,45%,45%,49%,43%,42%,41%,40%,41%,43%,48%,43%,42%,41%,42%,41%,42%,47%,40%,40%,40%,39%,38%,42%,44%,42%,39%,40%,37%,41%,40%,47%,40%,39%,39%,40%,41%,45%,49%,41%,42%,43%,42%,39%,43%,43%,42%,41%,42%,42%,42%,42%,42%,47%,40%,41%,46%,40%,42%,44%,42%,40%,43%,40%,45%,41%,45%,38%,45%,41%,40%,41%,42%,44%,40%,44%,41%,42%,40%,38%,43%,38%,39%,40%,44%,40%,40%,47%,47%,43%,44%,43%,46%,46%,46%,41%,43%,42%,42%,42%,46%,47%,43%,43%,46%,41%,43%,50%,51%,50%,41%,45%,43%,43%,45%,49%,43%,45%,42%,40%,44%,39%,48%,42%,42%,41%,42%,40%,39%,49%,44%,43%,39%,42%,40%,43%,45%,42%,38%,45%,43%
MAIRIPORÃ,3528502,101937,SP,41%,39%,37%,40%,47%,48%,50%,51%,62%,63%,60%,61%,62%,61%,62%,64%,67%,62%,63%,60%,60%,62%,66%,67%,58%,58%,57%,55%,67%,63%,67%,57%,58%,58%,58%,56%,62%,68%,58%,65%,55%,56%,55%,60%,67%,55%,56%,55%,53%,62%,60%,67%,53%,55%,52%,56%,53%,58%,62%,55%,55%,55%,56%,56%,54%,57%,49%,50%,49%,50%,50%,53%,57%,53%,48%,49%,50%,48%,53%,56%,49%,49%,49%,49%,47%,51%,53%,48%,49%,47%,51%,47%,50%,54%,48%,48%,48%,47%,47%,49%,53%,47%,48%,48%,47%,47%,50%,53%,47%,45%,46%,47%,46%,48%,52%,46%,47%,46%,47%,46%,48%,51%,45%,47%,46%,46%,45%,48%,51%,43%,44%,44%,43%,42%,45%,51%,43%,44%,44%,44%,44%,46%,52%,43%,44%,43%,43%,42%,44%,48%,42%,43%,41%,41%,41%,45%,49%,41%,44%,43%,44%,41%,46%,51%,41%,44%,42%,42%,40%,42%,46%,40%,43%,42%,41%,40%,41%,47%,48%,36%,41%,41%,40%,42%,45%,40%,40%,42%,41%,41%,43%,46%,42%,44%,40%,40%,39%,43%,44%,40%,41%,42%,43%,41%,39%,46%,38%,39%,41%,40%,41%,38%,48%,47%,37%,42%,41%,42%,42%,47%,41%,42%,42%,42%,40%,42%,48%,40%,40%,43%,41%,41%,47%,48%,48%,39%,41%,41%,40%,42%,47%,38%,41%,41%,41%,40%,42%,45%,39%,41%,40%,42%,41%,41%,45%,39%,42%,40%,42%,40%,40%,45%,42%,41%,42%,41%
MARÍLIA,3529005,240590,SP,32%,29%,28%,30%,36%,37%,40%,39%,52%,53%,50%,51%,50%,50%,48%,51%,53%,51%,51%,51%,50%,50%,53%,53%,47%,46%,46%,43%,55%,49%,53%,46%,48%,46%,45%,45%,50%,55%,47%,53%,45%,45%,44%,48%,54%,45%,45%,44%,43%,52%,48%,54%,44%,44%,44%,43%,41%,45%,47%,44%,42%,44%,44%,42%,44%,48%,42%,42%,42%,42%,40%,44%,50%,47%,41%,41%,42%,40%,43%,47%,41%,41%,41%,41%,39%,47%,48%,41%,41%,40%,45%,39%,42%,47%,41%,40%,41%,40%,39%,43%,47%,41%,41%,40%,40%,40%,41%,48%,41%,41%,41%,40%,40%,43%,47%,40%,40%,39%,40%,39%,41%,47%,40%,40%,40%,39%,39%,41%,46%,39%,38%,38%,38%,38%,41%,46%,39%,39%,39%,39%,38%,40%,46%,38%,38%,37%,36%,34%,37%,41%,38%,38%,37%,35%,37%,38%,46%,39%,39%,37%,38%,38%,40%,45%,37%,37%,37%,37%,36%,38%,43%,37%,37%,37%,37%,35%,37%,40%,43%,35%,36%,37%,35%,37%,42%,36%,36%,36%,36%,35%,37%,43%,37%,36%,37%,35%,35%,36%,41%,37%,36%,35%,36%,35%,36%,41%,35%,35%,35%,36%,35%,35%,41%,43%,35%,35%,35%,35%,38%,41%,36%,35%,35%,35%,35%,37%,42%,35%,36%,35%,35%,35%,37%,41%,42%,35%,35%,34%,34%,36%,40%,35%,35%,35%,34%,34%,35%,40%,35%,35%,35%,34%,34%,36%,40%,35%,35%,35%,34%,34%,36%,39%,35%,34%,34%,36%
MATÃO,3529302,83626,SP,37%,34%,33%,35%,41%,42%,43%,43%,55%,54%,52%,52%,52%,51%,50%,53%,57%,54%,53%,52%,52%,51%,54%,55%,50%,48%,47%,43%,57%,49%,53%,46%,46%,45%,45%,43%,48%,54%,46%,53%,44%,43%,43%,48%,53%,43%,43%,43%,42%,51%,47%,53%,43%,40%,41%,40%,41%,44%,48%,42%,42%,42%,43%,41%,46%,50%,45%,44%,45%,45%,43%,46%,51%,48%,42%,43%,44%,43%,45%,49%,43%,43%,43%,43%,40%,48%,48%,43%,43%,42%,46%,42%,43%,46%,43%,43%,43%,42%,41%,43%,46%,43%,42%,42%,41%,42%,43%,46%,42%,43%,42%,42%,42%,43%,46%,42%,41%,39%,41%,40%,43%,47%,41%,40%,41%,41%,41%,42%,47%,40%,38%,39%,39%,38%,41%,47%,40%,39%,38%,38%,39%,40%,46%,40%,39%,39%,40%,38%,39%,43%,40%,39%,38%,39%,40%,41%,46%,40%,40%,38%,40%,39%,42%,46%,40%,39%,40%,41%,38%,38%,44%,39%,40%,39%,39%,37%,37%,40%,43%,38%,39%,39%,38%,39%,43%,39%,38%,38%,38%,38%,38%,43%,39%,40%,39%,39%,39%,38%,41%,39%,37%,38%,39%,38%,37%,41%,38%,38%,37%,39%,39%,37%,42%,43%,37%,38%,38%,39%,38%,42%,37%,38%,38%,38%,37%,39%,43%,38%,38%,37%,38%,37%,38%,42%,43%,37%,38%,36%,37%,38%,41%,38%,37%,38%,36%,37%,38%,40%,37%,37%,38%,36%,37%,38%,40%,37%,37%,37%,37%,37%,38%,41%,37%,37%,38%,38%
MAUÁ,3529401,477552,SP,33%,31%,30%,32%,38%,40%,42%,44%,53%,56%,51%,53%,54%,55%,54%,57%,60%,57%,57%,56%,56%,56%,59%,60%,53%,51%,51%,50%,61%,58%,62%,53%,53%,52%,52%,52%,57%,62%,53%,60%,51%,52%,51%,56%,63%,52%,52%,51%,50%,60%,57%,64%,51%,48%,47%,49%,49%,53%,58%,51%,50%,50%,51%,50%,45%,48%,44%,44%,44%,43%,46%,47%,50%,47%,43%,43%,43%,41%,48%,48%,43%,43%,42%,42%,42%,43%,47%,41%,42%,42%,43%,41%,43%,47%,42%,42%,41%,41%,40%,41%,45%,41%,42%,42%,40%,40%,43%,46%,41%,42%,40%,41%,40%,42%,46%,40%,41%,40%,41%,39%,42%,46%,40%,40%,40%,40%,39%,41%,45%,38%,39%,40%,37%,38%,40%,45%,39%,38%,39%,39%,38%,40%,45%,38%,38%,38%,37%,36%,38%,42%,35%,37%,35%,37%,36%,38%,44%,38%,36%,36%,37%,36%,40%,44%,37%,38%,36%,37%,36%,35%,41%,36%,35%,36%,35%,34%,37%,40%,41%,36%,36%,36%,35%,36%,41%,37%,35%,35%,36%,35%,36%,41%,36%,37%,36%,36%,34%,36%,39%,35%,35%,34%,34%,33%,35%,40%,36%,35%,33%,35%,36%,36%,39%,42%,34%,34%,35%,36%,36%,40%,35%,36%,33%,34%,34%,36%,41%,35%,35%,36%,37%,34%,41%,41%,43%,35%,35%,35%,34%,36%,43%,35%,36%,36%,34%,35%,36%,39%,35%,36%,35%,34%,38%,37%,40%,36%,37%,35%,35%,36%,37%,40%,35%,34%,34%,36%
MOGI DAS CRUZES,3530607,450785,SP,34%,32%,31%,34%,40%,41%,44%,45%,56%,58%,54%,56%,56%,56%,54%,57%,60%,58%,58%,57%,58%,57%,60%,61%,54%,53%,53%,52%,61%,58%,63%,54%,54%,54%,53%,52%,57%,63%,54%,61%,52%,52%,51%,55%,62%,52%,52%,51%,50%,59%,55%,62%,50%,50%,50%,51%,49%,52%,56%,51%,51%,52%,51%,52%,51%,55%,47%,47%,47%,48%,49%,51%,56%,52%,46%,47%,48%,46%,50%,54%,47%,47%,47%,46%,45%,49%,50%,45%,46%,45%,46%,44%,47%,52%,45%,45%,45%,44%,44%,47%,51%,45%,45%,44%,43%,44%,47%,51%,45%,43%,44%,44%,44%,46%,49%,43%,43%,43%,44%,43%,45%,50%,43%,44%,43%,44%,43%,45%,49%,42%,42%,41%,41%,41%,44%,50%,42%,42%,42%,42%,42%,44%,49%,41%,41%,41%,41%,39%,42%,46%,41%,42%,41%,41%,40%,43%,51%,42%,43%,42%,42%,41%,45%,50%,41%,42%,41%,41%,39%,41%,46%,40%,44%,40%,40%,39%,40%,44%,47%,40%,41%,40%,39%,40%,46%,39%,40%,38%,38%,39%,41%,47%,40%,41%,40%,39%,39%,40%,43%,39%,39%,39%,39%,39%,39%,46%,39%,39%,38%,39%,39%,39%,44%,46%,36%,39%,39%,40%,41%,46%,39%,39%,39%,38%,39%,41%,46%,39%,39%,39%,39%,39%,42%,46%,47%,39%,39%,38%,37%,40%,44%,37%,38%,39%,38%,38%,40%,43%,38%,39%,38%,37%,38%,39%,44%,38%,39%,38%,38%,38%,39%,42%,38%,37%,38%,38%
MOGI GUAÇU,3530706,153033,SP,40%,38%,35%,37%,43%,42%,44%,46%,58%,57%,53%,55%,55%,54%,54%,57%,59%,57%,56%,55%,55%,55%,58%,58%,53%,51%,48%,50%,61%,54%,57%,49%,50%,50%,49%,48%,53%,58%,49%,57%,47%,46%,47%,52%,57%,47%,46%,47%,46%,53%,50%,56%,46%,46%,45%,45%,44%,47%,51%,46%,46%,45%,46%,45%,47%,51%,45%,45%,44%,45%,44%,47%,53%,50%,44%,44%,44%,44%,47%,50%,44%,44%,43%,44%,42%,45%,49%,44%,43%,40%,45%,41%,43%,47%,42%,42%,42%,41%,40%,44%,48%,42%,42%,43%,43%,42%,44%,49%,43%,43%,42%,42%,41%,44%,48%,42%,42%,42%,42%,40%,44%,48%,42%,42%,41%,42%,42%,44%,49%,42%,41%,40%,40%,39%,44%,49%,41%,41%,41%,41%,41%,41%,48%,40%,40%,39%,31%,38%,41%,46%,41%,40%,40%,39%,41%,42%,49%,41%,40%,41%,40%,40%,42%,48%,40%,40%,40%,40%,39%,40%,46%,39%,40%,40%,39%,35%,40%,44%,46%,38%,39%,39%,39%,41%,45%,39%,40%,40%,40%,39%,40%,47%,40%,41%,40%,40%,39%,41%,45%,41%,38%,,40%,39%,40%,45%,39%,38%,39%,40%,39%,39%,44%,47%,38%,39%,39%,40%,41%,46%,39%,39%,39%,40%,38%,41%,46%,39%,40%,40%,39%,38%,41%,46%,46%,39%,40%,38%,38%,41%,44%,39%,38%,40%,38%,38%,41%,44%,38%,38%,39%,38%,40%,41%,43%,39%,39%,38%,39%,40%,41%,45%,39%,38%,39%,39%
MOGI MIRIM,3530805,93650,SP,40%,38%,37%,39%,45%,44%,49%,48%,59%,57%,54%,55%,56%,55%,56%,58%,62%,58%,59%,57%,57%,56%,60%,61%,55%,53%,51%,49%,62%,56%,59%,45%,50%,50%,50%,49%,54%,61%,51%,58%,49%,49%,49%,54%,58%,48%,48%,46%,46%,57%,52%,59%,48%,47%,46%,46%,45%,50%,55%,46%,46%,46%,47%,45%,51%,56%,49%,48%,48%,49%,47%,51%,57%,54%,49%,48%,49%,48%,50%,56%,48%,48%,48%,48%,47%,52%,53%,47%,47%,47%,51%,46%,49%,54%,48%,48%,47%,46%,47%,49%,54%,48%,47%,48%,45%,47%,49%,55%,47%,46%,47%,46%,46%,48%,54%,46%,45%,46%,46%,46%,49%,54%,46%,46%,44%,45%,44%,47%,51%,44%,44%,44%,43%,42%,47%,53%,45%,43%,44%,43%,43%,46%,53%,43%,42%,42%,34%,42%,45%,50%,43%,43%,42%,41%,43%,46%,53%,43%,44%,43%,43%,42%,46%,51%,44%,43%,44%,44%,43%,44%,51%,43%,43%,43%,43%,42%,44%,48%,50%,43%,44%,43%,43%,44%,51%,42%,40%,44%,44%,43%,44%,51%,43%,44%,43%,44%,43%,44%,49%,43%,43%,34%,43%,43%,43%,50%,42%,42%,43%,43%,44%,43%,48%,51%,41%,44%,44%,44%,45%,51%,44%,43%,43%,45%,44%,46%,50%,43%,44%,44%,42%,43%,45%,51%,50%,43%,43%,41%,41%,45%,50%,42%,41%,44%,42%,43%,45%,49%,42%,41%,43%,43%,43%,45%,47%,42%,42%,43%,43%,43%,45%,50%,43%,42%,43%,43%
OSASCO,3534401,699944,SP,29%,28%,27%,30%,37%,40%,42%,45%,57%,57%,53%,54%,54%,55%,54%,56%,61%,56%,57%,56%,56%,56%,59%,61%,53%,52%,52%,50%,60%,57%,62%,52%,52%,52%,52%,51%,55%,62%,53%,60%,50%,51%,50%,55%,61%,51%,50%,50%,49%,58%,54%,62%,50%,50%,50%,50%,48%,52%,56%,51%,50%,50%,51%,50%,48%,52%,47%,47%,47%,47%,46%,49%,53%,50%,46%,46%,47%,45%,50%,52%,46%,46%,46%,46%,45%,47%,51%,45%,45%,45%,47%,44%,46%,51%,45%,44%,45%,43%,44%,45%,50%,45%,45%,45%,43%,44%,46%,50%,44%,44%,43%,44%,43%,45%,49%,44%,44%,43%,44%,43%,44%,48%,43%,44%,44%,44%,42%,44%,49%,42%,42%,42%,41%,40%,42%,49%,42%,41%,41%,41%,41%,42%,48%,41%,41%,41%,40%,39%,41%,45%,39%,40%,39%,38%,38%,41%,47%,39%,40%,39%,39%,39%,41%,45%,39%,40%,39%,38%,37%,39%,45%,38%,39%,38%,38%,36%,38%,42%,44%,38%,38%,37%,36%,38%,43%,38%,37%,38%,37%,36%,38%,44%,38%,38%,37%,37%,36%,36%,42%,38%,37%,38%,37%,36%,37%,43%,37%,37%,37%,37%,37%,36%,42%,43%,36%,36%,37%,38%,38%,43%,37%,36%,36%,36%,36%,38%,43%,37%,37%,36%,36%,37%,44%,43%,43%,36%,36%,36%,35%,38%,45%,36%,36%,36%,36%,36%,38%,41%,36%,37%,37%,37%,36%,38%,42%,36%,36%,37%,37%,35%,37%,41%,36%,36%,36%,36%
OURINHOS,3534708,114352,SP,34%,32%,30%,33%,39%,40%,42%,42%,50%,52%,48%,51%,51%,50%,49%,52%,55%,55%,55%,54%,53%,52%,55%,54%,50%,49%,48%,48%,62%,55%,60%,52%,52%,52%,51%,51%,55%,61%,51%,59%,50%,49%,52%,54%,60%,51%,51%,50%,50%,60%,58%,60%,50%,50%,50%,50%,48%,50%,54%,50%,48%,50%,49%,50%,44%,48%,40%,41%,40%,41%,40%,44%,50%,46%,39%,41%,41%,39%,41%,45%,40%,41%,40%,40%,39%,48%,48%,40%,40%,39%,44%,39%,41%,45%,40%,40%,40%,39%,39%,41%,46%,40%,40%,39%,40%,40%,43%,47%,40%,39%,39%,40%,40%,42%,46%,40%,39%,39%,39%,38%,40%,44%,39%,39%,39%,39%,38%,40%,45%,38%,38%,38%,37%,38%,39%,44%,38%,38%,38%,38%,38%,39%,45%,38%,36%,34%,36%,36%,37%,42%,38%,37%,37%,38%,39%,41%,48%,41%,42%,41%,41%,40%,43%,48%,40%,41%,40%,38%,38%,39%,44%,39%,39%,39%,39%,37%,38%,38%,45%,36%,39%,39%,38%,39%,43%,38%,39%,38%,38%,38%,39%,43%,39%,39%,40%,39%,39%,39%,42%,39%,38%,39%,40%,39%,38%,43%,39%,38%,37%,40%,38%,37%,42%,44%,37%,38%,38%,38%,40%,43%,38%,38%,38%,38%,38%,40%,43%,38%,38%,38%,38%,38%,38%,44%,44%,38%,38%,37%,37%,38%,41%,38%,38%,38%,36%,37%,38%,42%,38%,39%,38%,36%,37%,38%,42%,37%,37%,37%,36%,37%,38%,41%,37%,37%,37%,38%
PAULÍNIA,3536505,112003,SP,34%,34%,31%,34%,41%,42%,44%,46%,61%,59%,53%,53%,56%,54%,55%,58%,63%,54%,51%,55%,55%,51%,59%,62%,52%,50%,50%,47%,61%,55%,62%,50%,50%,49%,49%,47%,49%,62%,50%,58%,47%,48%,47%,53%,62%,48%,47%,47%,46%,56%,52%,61%,47%,46%,46%,46%,45%,50%,57%,47%,46%,46%,45%,45%,47%,49%,45%,44%,43%,44%,45%,46%,52%,47%,43%,45%,45%,44%,50%,51%,46%,45%,45%,45%,44%,45%,50%,44%,43%,43%,47%,43%,46%,50%,43%,43%,43%,40%,43%,44%,51%,43%,44%,43%,42%,42%,44%,51%,42%,44%,41%,42%,42%,45%,50%,42%,43%,43%,44%,42%,44%,49%,42%,43%,42%,44%,42%,45%,49%,38%,39%,39%,39%,39%,44%,45%,43%,34%,39%,38%,40%,42%,51%,41%,40%,40%,40%,39%,39%,48%,41%,40%,40%,38%,37%,33%,48%,37%,39%,38%,35%,36%,37%,44%,38%,36%,35%,36%,37%,38%,45%,35%,37%,37%,37%,34%,38%,44%,43%,37%,39%,36%,34%,38%,43%,37%,,36%,36%,34%,39%,44%,37%,34%,32%,36%,35%,35%,43%,38%,35%,36%,37%,35%,33%,45%,37%,36%,34%,36%,36%,36%,43%,43%,36%,35%,36%,37%,37%,44%,35%,36%,34%,33%,35%,39%,41%,35%,35%,35%,34%,35%,44%,45%,44%,35%,35%,33%,35%,40%,47%,35%,34%,35%,32%,33%,35%,42%,34%,36%,34%,35%,34%,35%,44%,35%,33%,33%,36%,34%,38%,41%,35%,35%,34%,34%
PINDAMONHANGABA,3538006,170132,SP,43%,42%,39%,42%,48%,49%,50%,51%,64%,62%,58%,59%,61%,59%,59%,61%,64%,62%,61%,61%,61%,60%,64%,64%,58%,57%,56%,55%,66%,63%,67%,62%,55%,54%,56%,56%,61%,66%,58%,63%,56%,55%,54%,59%,65%,55%,54%,54%,54%,62%,61%,66%,54%,54%,52%,52%,51%,56%,60%,53%,53%,52%,52%,51%,51%,53%,49%,49%,49%,49%,48%,50%,54%,51%,46%,49%,48%,48%,52%,53%,49%,49%,48%,48%,47%,50%,51%,48%,48%,48%,51%,48%,49%,52%,48%,48%,48%,46%,47%,49%,51%,48%,48%,48%,48%,48%,49%,52%,48%,46%,47%,47%,47%,49%,52%,48%,48%,48%,48%,47%,49%,51%,48%,48%,47%,48%,47%,48%,51%,45%,45%,44%,43%,44%,47%,52%,46%,45%,42%,45%,44%,46%,52%,44%,44%,44%,44%,43%,46%,50%,45%,45%,44%,43%,43%,45%,52%,44%,44%,42%,42%,43%,44%,49%,43%,44%,43%,42%,41%,44%,46%,41%,43%,42%,41%,41%,41%,47%,47%,43%,43%,42%,42%,45%,46%,42%,44%,40%,42%,42%,41%,45%,41%,44%,40%,39%,39%,42%,46%,42%,40%,41%,39%,39%,40%,44%,41%,39%,39%,40%,40%,38%,44%,42%,39%,39%,40%,42%,41%,45%,39%,41%,40%,40%,39%,42%,46%,40%,39%,41%,41%,39%,47%,44%,45%,39%,40%,39%,40%,42%,45%,40%,40%,39%,39%,37%,41%,44%,37%,41%,39%,38%,39%,41%,44%,40%,40%,39%,39%,40%,42%,42%,37%,38%,40%,40%
PIRACICABA,3538709,407252,SP,31%,30%,29%,31%,36%,38%,39%,40%,52%,52%,48%,51%,52%,52%,50%,53%,57%,53%,53%,52%,52%,51%,55%,56%,49%,47%,48%,44%,56%,52%,56%,47%,48%,47%,47%,46%,51%,57%,47%,55%,46%,45%,44%,50%,56%,46%,45%,45%,43%,55%,49%,56%,45%,44%,43%,41%,41%,46%,50%,44%,43%,43%,43%,42%,45%,48%,42%,42%,42%,42%,41%,45%,50%,46%,40%,42%,42%,41%,45%,49%,42%,42%,41%,41%,41%,45%,48%,41%,41%,41%,45%,40%,43%,47%,41%,41%,41%,40%,39%,42%,47%,41%,41%,41%,40%,40%,44%,47%,41%,39%,41%,41%,40%,43%,47%,40%,40%,40%,40%,39%,42%,47%,40%,41%,40%,40%,39%,42%,46%,38%,38%,38%,37%,37%,40%,46%,39%,38%,38%,38%,38%,40%,47%,38%,38%,37%,37%,36%,38%,43%,37%,37%,37%,37%,37%,39%,46%,37%,39%,37%,37%,36%,39%,45%,37%,37%,36%,35%,35%,36%,43%,36%,36%,36%,35%,35%,36%,41%,43%,36%,37%,35%,34%,37%,42%,35%,36%,35%,35%,34%,36%,43%,36%,37%,36%,35%,35%,37%,41%,35%,36%,34%,35%,35%,36%,41%,34%,35%,34%,35%,34%,36%,40%,43%,35%,33%,35%,36%,36%,41%,35%,35%,36%,35%,35%,37%,42%,35%,35%,35%,35%,35%,38%,41%,43%,35%,35%,33%,33%,37%,41%,34%,35%,35%,33%,34%,37%,39%,34%,35%,34%,32%,38%,37%,40%,34%,34%,34%,33%,36%,36%,39%,34%,35%,35%,34%
